zip_code,median_household_income_acs2019,derived_income_quartile
00601,14361,1
00602,16807,1
00603,16049,1
00606,12119,1
00610,19898,1
00612,18741,1
00616,17007,1
00617,16984,1
00622,14615,1
00623,17130,1
00624,16701,1
00627,17000,1
00631,10244,1
00637,17405,1
00638,16843,1
00641,15792,1
00646,30573,1
00647,14223,1
00650,19764,1
00652,21987,1
00653,12072,1
00656,17355,1
00659,17715,1
00660,19030,1
00662,16834,1
00664,14595,1
00667,14013,1
00669,16922,1
00670,14245,1
00674,18299,1
00676,14992,1
00677,19943,1
00678,17144,1
00680,14217,1
00682,14706,1
00683,16332,1
00685,15185,1
00687,20941,1
00688,17874,1
00690,18288,1
00692,20585,1
00693,19576,1
00698,14794,1
00703,18846,1
00704,17275,1
00705,20214,1
00707,20760,1
00714,17615,1
00715,12188,1
00716,17969,1
00717,12121,1
00718,19372,1
00719,18922,1
00720,15295,1
00723,16063,1
00725,21350,1
00727,31688,1
00728,19340,1
00729,21469,1
00730,15723,1
00731,15473,1
00735,18395,1
00736,21894,1
00738,19859,1
00739,20065,1
00740,12944,1
00741,22121,1
00745,22960,1
00751,18087,1
00754,19403,1
00757,19827,1
00765,14880,1
00766,19682,1
00767,16295,1
00769,19700,1
00771,21175,1
00772,16107,1
00773,21850,1
00775,22667,1
00777,19830,1
00778,35183,1
00780,21663,1
00782,13683,1
00783,14995,1
00784,17415,1
00786,37552,1
00791,20269,1
00794,17073,1
00795,20471,1
00901,21469,1
00906,106518,4
00907,36495,1
00909,19443,1
00911,35470,1
00912,22292,1
00913,6493,1
00915,12802,1
00917,15220,1
00918,25117,1
00920,25809,1
00921,18763,1
00923,14159,1
00924,18176,1
00925,11090,1
00926,35788,1
00927,35268,1
00949,27229,1
00952,14991,1
00953,29019,1
00956,23127,1
00957,26667,1
00959,30466,1
00961,29511,1
00962,15497,1
00965,15276,1
00966,48163,2
00968,49099,2
00969,50419,2
00971,22480,1
00976,32377,1
00979,34701,1
00982,24895,1
00983,25750,1
00985,26156,1
00987,32555,1
01001,63949,3
01002,61159,3
01003,2499,1
01005,67302,3
01007,91191,4
01008,76333,3
01009,80714,3
01010,70063,3
01011,76500,3
01012,67321,3
01013,43808,1
01020,60561,2
01022,46488,1
01026,58438,2
01027,67119,3
01028,87748,4
01029,87727,4
01030,76000,3
01031,38173,1
01032,68750,3
01033,96979,4
01034,87750,4
01035,74364,3
01036,91646,4
01037,80556,3
01038,72045,3
01039,94191,4
01040,40769,1
01050,67750,3
01053,60823,2
01054,90978,4
01056,73458,3
01057,83008,4
01060,61798,3
01062,75179,3
01068,88571,4
01069,63750,3
01070,60000,2
01071,75592,3
01072,80625,3
01073,104577,4
01074,86414,4
01075,69346,3
01077,73776,3
01079,31594,1
01080,65741,3
01081,69250,3
01082,56637,2
01083,60323,2
01084,75938,3
01085,68042,3
01088,54286,2
01089,53053,2
01092,108725,4
01093,91563,4
01095,108965,4
01096,82574,4
01098,80192,3
01103,26135,1
01104,34937,1
01105,19427,1
01106,121141,4
01107,26258,1
01108,43235,1
01109,35339,1
01118,63571,3
01119,46985,1
01128,61659,3
01129,58621,2
01151,43128,1
01201,52223,2
01220,53223,2
01222,58646,2
01223,75250,3
01224,77717,3
01225,71081,3
01226,68915,3
01230,69328,3
01235,63947,3
01236,64048,3
01237,67625,3
01238,73333,3
01240,68393,3
01243,49643,2
01244,51538,2
01245,80417,3
01247,44721,1
01253,85417,4
01254,91484,4
01255,71023,3
01256,58125,2
01257,100909,4
01258,67500,3
01259,68438,3
01260,118508,4
01262,29659,1
01264,71250,3
01266,73906,3
01267,83939,4
01270,85417,4
01301,50889,2
01330,70761,3
01331,57987,2
01337,66771,3
01338,60347,2
01339,64813,3
01340,62500,3
01341,96563,4
01342,85341,4
01343,71625,3
01344,62727,3
01346,69375,3
01347,53846,2
01349,65536,3
01350,28750,1
01351,81042,3
01354,67917,3
01355,65875,3
01360,75875,3
01364,50890,2
01366,71484,3
01367,63750,3
01368,76250,3
01370,62966,3
01373,78382,3
01375,55625,2
01376,40913,1
01378,59375,2
01379,53750,2
01420,57207,2
01430,95037,4
01431,97958,4
01432,94375,4
01434,92426,4
01436,73169,3
01438,119808,4
01440,49679,2
01450,129085,4
01451,162619,4
01452,91734,4
01453,61887,3
01460,123413,4
01462,103228,4
01463,104130,4
01464,76875,3
01468,73246,3
01469,91964,4
01473,100972,4
01474,90302,4
01475,80267,3
01501,85432,4
01503,99297,4
01504,95375,4
01505,97591,4
01506,70338,3
01507,101111,4
01510,67634,3
01515,82946,4
01516,99943,4
01518,72470,3
01519,109670,4
01520,109529,4
01521,82179,4
01522,108036,4
01523,93385,4
01524,81042,3
01525,40947,1
01527,85781,4
01529,79129,3
01531,91125,4
01532,128613,4
01534,102284,4
01535,78750,3
01536,109329,4
01537,64975,3
01540,77184,3
01541,136083,4
01542,106250,4
01543,107928,4
01545,105014,4
01550,51270,2
01560,88750,4
01562,72821,3
01564,121458,4
01566,86731,4
01568,128796,4
01569,107740,4
01570,62281,3
01571,69071,3
01581,112153,4
01583,90688,4
01585,63182,3
01588,76250,3
01590,104710,4
01602,64942,3
01603,42904,1
01604,55665,2
01605,40390,1
01606,65708,3
01607,39928,1
01608,31384,1
01609,45992,1
01610,33695,1
01611,98140,4
01612,120469,4
01701,111209,4
01702,65154,3
01718,170789,4
01719,115395,4
01720,141265,4
01721,124130,4
01730,128354,4
01731,107778,4
01740,173024,4
01741,195889,4
01742,152240,4
01745,127700,4
01746,135340,4
01747,108294,4
01748,157353,4
01749,91706,4
01752,80943,3
01754,105254,4
01756,125945,4
01757,83243,4
01760,115446,4
01770,198681,4
01772,148409,4
01773,140125,4
01775,148235,4
01776,191310,4
01778,185906,4
01801,90969,4
01803,118721,4
01810,151334,4
01821,106141,4
01824,126081,4
01826,90000,4
01827,135909,4
01830,65224,3
01832,66961,3
01833,128466,4
01834,103125,4
01835,76538,3
01840,24045,1
01841,43411,1
01843,56680,2
01844,77484,3
01845,108070,4
01850,52827,2
01851,60596,2
01852,59037,2
01854,53322,2
01860,84609,4
01862,96514,4
01863,100672,4
01864,128651,4
01867,132948,4
01876,102934,4
01879,113489,4
01880,100693,4
01886,144917,4
01887,125922,4
01890,169623,4
01901,24446,1
01902,46224,1
01904,81788,3
01905,62927,3
01906,88630,4
01907,112761,4
01908,97778,4
01913,82468,4
01915,80586,3
01921,184007,4
01922,128083,4
01923,89250,4
01929,106283,4
01930,72574,3
01938,93212,4
01940,119602,4
01944,148854,4
01945,123333,4
01949,125204,4
01950,109839,4
01951,95345,4
01952,81626,3
01960,73290,3
01966,85208,4
01969,115909,4
01970,68860,3
01982,127813,4
01983,136863,4
01984,128056,4
01985,149167,4
02019,101477,4
02021,105919,4
02025,145679,4
02026,100680,4
02030,250001,4
02032,155474,4
02035,96062,4
02038,122607,4
02043,142435,4
02045,88476,4
02047,45655,1
02048,120613,4
02050,102249,4
02052,160963,4
02053,132823,4
02054,106164,4
02056,151279,4
02061,157987,4
02062,90133,4
02066,130893,4
02067,141596,4
02071,110809,4
02072,83519,4
02081,117535,4
02090,160329,4
02093,126613,4
02108,146958,4
02109,163173,4
02110,142869,4
02111,53596,2
02113,100483,4
02114,96563,4
02115,43144,1
02116,110280,4
02118,67805,3
02119,31900,1
02120,38300,1
02121,32500,1
02122,60313,2
02124,58105,2
02125,57649,2
02126,55024,2
02127,109149,4
02128,60579,2
02129,128403,4
02130,94733,4
02131,80578,3
02132,103337,4
02134,62614,3
02135,78416,3
02136,69262,3
02138,105065,4
02139,105061,4
02140,103738,4
02141,84142,4
02142,121484,4
02143,98374,4
02144,113958,4
02145,83208,4
02148,65975,3
02149,65528,3
02150,56737,2
02151,62605,3
02152,74069,3
02155,96486,4
02163,53214,2
02169,72537,3
02170,83734,4
02171,84034,4
02176,106955,4
02180,101549,4
02184,96522,4
02186,133718,4
02188,86285,4
02189,76157,3
02190,95563,4
02191,78517,3
02199,83464,4
02210,170588,4
02215,45856,1
02301,52373,2
02302,70191,3
02322,85200,4
02324,95675,4
02330,70959,3
02332,128173,4
02333,90528,4
02338,92774,4
02339,127981,4
02341,96693,4
02343,75273,3
02346,83631,4
02347,106633,4
02351,99381,4
02356,125205,4
02359,103905,4
02360,90279,4
02364,96104,4
02367,94167,4
02368,82902,4
02370,78011,3
02375,100136,4
02379,97404,4
02382,86570,4
02420,195494,4
02421,178358,4
02445,132688,4
02446,98978,4
02451,111587,4
02452,90755,4
02453,86787,4
02458,117137,4
02459,195336,4
02460,126659,4
02461,164583,4
02462,115556,4
02464,122098,4
02465,157563,4
02466,121037,4
02467,132399,4
02468,241190,4
02472,101397,4
02474,112150,4
02476,102214,4
02478,129309,4
02481,223917,4
02482,168361,4
02492,168542,4
02493,207702,4
02494,133375,4
02532,70068,3
02534,92824,4
02535,96061,4
02536,72489,3
02537,109707,4
02538,69327,3
02539,78902,3
02540,78603,3
02542,53031,2
02543,99444,4
02554,107683,4
02556,96645,4
02557,75294,3
02558,45326,1
02559,73491,3
02561,86422,4
02562,103306,4
02563,93306,4
02564,112647,4
02568,51456,2
02571,63805,3
02575,95351,4
02576,80473,3
02601,54414,2
02630,115129,4
02631,75286,3
02632,86356,4
02633,83625,4
02635,68590,3
02637,188021,4
02638,83632,4
02639,52719,2
02641,62888,3
02642,71981,3
02644,98182,4
02645,78689,3
02646,67773,3
02647,77344,3
02648,87060,4
02649,77019,3
02650,91174,4
02652,70921,3
02653,73819,3
02655,83750,4
02657,59063,2
02659,70694,3
02660,61694,3
02663,64464,3
02664,60432,2
02666,67526,3
02667,75096,3
02668,100379,4
02670,65486,3
02671,75417,3
02672,76417,3
02673,63980,3
02675,74654,3
02702,95927,4
02703,74962,3
02715,101216,4
